pickup_hour,trips,avg_total_amount,avg_trip_distance,avg_speed_mph
0,791307.0,16.477330543013014,3.349007401678489,14.80839275908197
1,582718.0,15.98110063529872,6.619977845201281,15.145295393830935
2,442029.0,15.768886204298813,3.266135253569336,15.488963594723007
3,321726.0,16.283882869273853,3.476546813126698,16.284807343886406
4,241410.0,18.41800463941013,4.153054709829751,18.359143850609858
5,224006.0,20.11053052150389,4.6393394596573305,20.02670236037202
6,488792.0,16.058736640534214,3.5053338127465263,16.505534443997927
7,831833.0,14.59598861790768,2.807890225562102,12.797237691123899
8,1020492.0,14.604796509918746,2.518007735484453,10.691770520324194
9,1022230.0,14.612294689062148,13.88858867378183,10.61040120326365
10,990430.0,14.790026554122957,7.810409115232778,10.899964375811264
11,1032759.0,14.733658094482836,4.570558571748104,10.6081764816279
12,1100883.0,14.78181786802049,2.6168160013371087,10.4985420614081
13,1099501.0,15.200462755377211,7.588715699212643,10.640209965214313
14,1151927.0,15.966843385040892,14.692533467832597,10.47293841894752
15,1141401.0,15.773558985842836,2.839470965944484,10.29360949641366
16,1033430.0,16.438611226691698,3.1482323427808367,10.65863028129546
17,1205476.0,16.034437848617475,0.4513778685763964,10.399474103644897
18,1417798.0,15.417990433051816,4.340052320570349,10.359721802023373
19,1399141.0,15.19833097593452,3.112097351160462,11.26150058627209
20,1285044.0,15.45344283931134,2.881498804710189,12.542276644273809
21,1254904.0,15.826944531215137,3.266851089804479,13.236331219456806
22,1202864.0,16.283450165604755,4.571648997725428,13.589358584143824
23,1006806.0,16.735704793177632,4.885139738936796,14.357862493553649
