payment_type,payment_label,trips,revenue_sum,avg_total_amount,avg_trip_distance,avg_tip_percentage
1,Cartao de credito,14861835.0,2.5320229e+08,17.03708108722779,3.6359894992778483,21.25144100019937
2,Dinheiro,7320686.0,9.341284e+07,12.760121114332728,6.300477851392615,0.0004377119826050665
3,Sem cobranca,78593.0,1.2260075e+06,15.599449060348887,102.51189673380581,0.014160495156224102
4,Disputa,27792.0,347267.97,12.495249307354634,2.9162146481001727,0.020065482136555363
5,Desconhecido,1.0,11.8,11.800000190734863,1.399999976158142,0.0
